id,phase,story,parallel,tier,owner,dependencies,requirements,files,description,contracts,completion_gate,evidence,spawn_condition,non_claims,escalation,handoff
T024,US4,US4,False,A,Spencer under Luna coordination,T021 T022 T023,FR-009 FR-016 FR-020 FR-021,scripts/ops/acquire.sh;scripts/ops/health.sh;scripts/ops/README.md;specs/001-postmeeting-bridge/delivery/operator-handoff.md;Dockerfile;compose.yaml,"Day3 operator/package preparation: Spencer owns Dockerfile/Compose liveness/config wiring, protected separate coordinator credential for acquisition and domain credential for readiness, stable keys and all-boolean readiness. Pin state/code/UI/config assets, stopped recovery, dependencies/licenses/presenter path. Record actual Compose plugin version, not inferred v2.",C-A C-O,Wrappers/docs match core auth contract; no token args/logging; no universal portability/license-clearance claim.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T025,review,,False,A,Luna independent verifier,T018 T019 T021 T022 T023 T024,FR-001 FR-002 FR-003 FR-004 FR-005 FR-006 FR-008 FR-009 FR-013 FR-015 FR-016 FR-019 FR-021,specs/001-postmeeting-bridge/delivery/independent-evidence.md,"Only after explicit validation permission, observe quickstart Tier A success/denial/stale/replay/concurrency/unknown/aging and stopped recovery at exact candidate; missing permission is not run and blocks runtime acceptance. Include domain denial of every global job/callback and no replay leakage; normalized-content duplicate control.",All contracts quickstart.md,Every Tier A criterion has independent evidence or blocker; no reduced passing bar.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T026,review,,False,A-human-gate,Spencer under Luna coordination,T025,FR-020 FR-021,specs/001-postmeeting-bridge/delivery/human-rehearsal.md,Record later authorized guided human rehearsal role/candidate/target/steps/outcome/ack; if unavailable/unauthorized record pending and limit handoff to technical package.,C-O,Human-handoff claim only with actual acknowledgement; agent reproduction not substitute.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T027,review,,False,A-advisory-gate,GPT-6 Sol high independent review,T024 T025,FR-001 FR-002 FR-003 FR-004 FR-005 FR-009 FR-016 FR-021,specs/001-postmeeting-bridge/delivery/fable-advisory.md,"Final pre-acceptance independent GPT-6 Sol review on the exact T024/T025 implementation candidate and evidence: contradictions, history, authority, recovery, unsupported claims and critical-path realism. Separate post-spec/dispatch-lock design advisory is milestone FABLE-DESIGN after T001, not completion of T027.",All contracts,"Actual candidate advice, or user-run prompt provided with lead adjudication of outstanding issues; Fable is advisory and not an implementation dependency.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.",T024 and T025 complete on the pinned candidate; native independent GPT-6 Sol high review; reviewer slot free; no extra paid spend. Changed candidate requires affected review refresh.,"Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T028,review,,False,A,Astra / Main Lead 5.0,T025 T026 T027,FR-001 FR-020 FR-021,specs/001-postmeeting-bridge/delivery/lead-adjudication.md;docs/STATUS.md;docs/QUESTIONNAIRE_ROW_MAP.md,"Adjudicate evidence/Fable/human/business gates, accept only proved clauses, coordinate PR merges and authorized next stage prompt; incomplete Tier A remains partial.",All contracts,Lead alone changes canonical ledger/status; no hidden external gate or92-completed claim.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T029,tierB,US2,False,B,Grok 4.7 requirements/integration sublead,T025,FR-003 FR-004,specs/001-postmeeting-bridge/delivery/tier-b-release-contract.md,"After Tier A passes and explicit lead selection, finalize allocated release/reassignment history schema/readers/authority contract and complete affected-reader inventory.",C-L,Accepted contract before optional code; no referenced allocation deletion.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T030,tierB,US2,False,B,Terra in Codex,T029,FR-003 FR-004 FR-016,backend/ipam_demo/schema_v8.sql;backend/ipam_demo/schema.sql;backend/ipam_demo/store.py;backend/ipam_demo/inventory.py;backend/ipam_demo/reports.py;backend/ipam_demo/state_ops.py,"Reserve actual next schema; preserve allocation IDs/FKs, add versioned active/release history and active-only uniqueness; update all readers/export/recovery under settled optional contract.",C-L tier-b-release-contract,Historical requests remain valid; active uniqueness correct before reuse executable.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T031,tierB,US2,False,B,DeepSeek backend under Terra,T030,FR-003 FR-004,backend/ipam_demo/lifecycle.py;backend/ipam_demo/workflow.py,Implement independently approved local allocated release and same-IP synthetic service-reference reassignment under evidence/authority/version guards; no network reclaim/IP moves.,C-L tier-b-release-contract,Before/after lineage and retry/refusal preserved; no contradictory/pending external effect.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T032,tierB,US2,False,B,Terra in Codex,T031,FR-003 FR-004 FR-009,backend/ipam_demo/app.py;backend/ipam_demo/models.py,Integrate settled optional local release/reassignment APIs with existing scoped guards/errors and independent local/ticket outcomes.,C-A C-L,"No unchecked admin bypass, network side effect or stale reuse.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T033,tierB,US2,True,B,DeepSeek UI under Terra,T032,FR-003 FR-004,frontend/src/Workflow.tsx;frontend/src/workflowApi.ts,Show optional local release/reassignment exact before/after service history and local-only labels; unsupported IP moves unavailable.,C-A C-L,Tier A remains intact; no subscriber provisioning claim.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T034,tierB,US2,False,B,Grok 4.7 requirements/integration sublead,T025,FR-007 FR-009,specs/001-postmeeting-bridge/delivery/tier-b-dhcp-contract.md,"Freeze one isolated synthetic DHCP create-reservation fixture/authority/payload/readback contract; five-minute pending attention, no vendor API guess.",C-A C-T,Optional operation selected by lead; provider fixture distinct from local-static authority.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T035,tierB,US2,False,B,Terra in Codex,T034,FR-007 FR-011 FR-016,backend/ipam_demo/schema_v8.sql;backend/ipam_demo/schema_v9.sql;backend/ipam_demo/schema.sql;backend/ipam_demo/store.py;backend/ipam_demo/seed.py;backend/ipam_demo/state_ops.py,"Before optional DHCP leaf, core owner reserves the next actual schema and persists isolated provider reservation/effect/attempt/readback state with stopped backup compatibility. Use schema_v8.sql if no optional prior migration, schema_v9.sql only if release migration T030 already accepted; touch only selected file, record predecessor SHA/task. This task does not require selecting allocated release.",tier-b-dhcp-contract C-O,"Explicit recognized migration/fresh initialization and recovery contract complete before leaf. If release is selected first, add T030 as a prerequisite; otherwise no release dependency.",Core-owned migration/state contract and later exact synthetic provider/restore history observations; no live DHCP claim.,"T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T036,tierB,US2,False,B,DeepSeek backend under Terra,T035,FR-007 FR-011,backend/ipam_demo/dhcp_simulator.py,"Implement only isolated synthetic provider reservation with durable correlation/readback, pending attention after five minutes; no generic connector or real network client.",tier-b-dhcp-contract,Intent/observed lease/provider fixture remain separate; pending is not success.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T037,tierB,US2,False,B,Terra in Codex,T036,FR-007 FR-009,backend/ipam_demo/app.py;backend/ipam_demo/models.py,Integrate settled synthetic DHCP API with scoped independent approval and exact fixture authority; live mode unavailable.,C-A tier-b-dhcp-contract,No static-pool relabeling; explicit simulated outcome only.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T038,tierB,US2,True,B,DeepSeek UI under Terra,T037,FR-007,frontend/src/Workflow.tsx;frontend/src/workflowApi.ts,Render optional synthetic DHCP reservation/readback/pending states with scope/provenance and five-minute attention.,tier-b-dhcp-contract,Ticket/HTTP response alone never establishes provider result.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T039,tierB,US3,True,B,DeepSeek UI under Terra,T025,FR-008,frontend/src/InventoryEditor.tsx;frontend/src/inventoryCommandsApi.ts,"If lead selects lowest-priority stretch, show missing-child-prefix proposal through existing safe geometry/permission path; no expansion/resize/removal/new approval engine.",C-A C-L,Existing child editing semantics intact; optional UI only.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T040,tierB-review,,False,B,Luna independent verifier,T025,FR-001 FR-003 FR-004 FR-007 FR-008 FR-016,specs/001-postmeeting-bridge/delivery/tier-b-review.md,"For selected completed optional branches only, add their task IDs as prerequisites and independently assess affected Tier A/optional invariants after validation authority; lead decides integration.",All selected contracts,No optional branch integrated without independent exact-SHA evidence and lead approval.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","T025 Tier A passes, explicit lead selection and reserve intact; all listed and selected branch prerequisites complete, file lease/worker slot free.","Optional, not on minimum three-day critical path; no live/customer/production proof inferred.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
